danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96
0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062
0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985
0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018
0.888,0.632,1,-3.872,1,0.219,0.19,0.0,0.101,0.662,91.979
0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-05,0.682,0.808,119.952
0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048
0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059
0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015
0.712,0.862,5,-4.612,0,0.0378,0.0525,0.0,0.093,0.809,95.051
0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047
0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841
0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042
0.676,0.534,2,-6.901,0,0.0831,0.0594,8.59e-06,0.256,0.156,145.082
0.722,0.851,7,-3.873,0,0.0639,0.0319,0.0,0.108,0.452,126.885
0.457,0.906,5,-2.278,0,0.342,0.249,0.0,0.182,0.54,104.02
0.893,0.48,1,-3.728,0,0.356,0.00855,0.0,0.116,0.382,86.976
0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374
0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993
0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447
0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024
0.534,0.87,11,-3.078,0,0.0425,0.000334,0.0,0.241,0.462,126.019
0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596
0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967
0.564,0.911,2,-5.39,1,0.0536,0.159,4.36e-05,0.118,0.582,173.938
0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346
0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091
0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066
0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507
0.731,0.738,9,-8.125,0,0.0377,0.184,0.0,0.214,0.958,117.656
0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873
0.539,0.858,6,-4.639,0,0.0444,0.0332,0.000347,0.0562,0.353,117.841
0.597,0.517,0,-6.963,1,0.365,0.179,0.0,0.307,0.412,92.035
0.309,0.93,11,-6.399,1,0.125,0.0192,0.0022,0.106,0.376,195.815
0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47
0.689,0.702,6,-5.642,0,0.0261,0.216,0.0,0.159,0.484,99.031
0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853
0.609,0.668,7,-4.284,1,0.0367,0.0552,0.0,0.167,0.811,80.924
0.681,0.701,9,-6.336,1,0.0767,0.106,0.0,0.208,0.398,139.952
0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98
0.526,0.96,2,-4.992,1,0.135,0.305,0.0109,0.909,0.579,117.312
0.57,0.939,5,-0.716,0,0.0789,0.00719,1.08e-06,0.0462,0.801,103.983
0.649,0.936,5,-4.131,0,0.0432,0.00849,9.56e-06,0.153,0.692,130.943
0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774
0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011
0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913
0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096
0.708,0.492,0,-9.388,1,0.302,0.123,3.74e-05,0.103,0.246,105.059
0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031
0.653,0.73,5,-10.613,1,0.0429,0.0115,1.02e-05,0.0776,0.894,108.709
0.761,0.711,9,-7.989,1,0.0604,0.0174,0.000101,0.0652,0.947,105.448
0.965,0.857,11,-8.458,0,0.17,0.00131,0.0,0.0726,0.951,127.656
0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536
0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941
0.379,0.76,9,-10.961,1,0.0378,0.00298,0.0296,0.104,0.491,99.436
0.652,0.795,11,-5.192,0,0.174,0.156,0.0,0.123,0.788,135.018
0.679,0.866,0,-6.053,1,0.0635,0.00376,3.1e-05,0.312,0.785,124.324
0.591,0.87,7,-6.381,1,0.0652,0.409,0.0,0.718,0.747,121.682
0.491,0.957,11,-3.67,1,0.096,0.00853,0.000879,0.371,0.635,158.067
0.671,0.638,7,-8.171,1,0.0251,0.0027,0.000695,0.161,0.619,107.088
0.637,0.738,9,-5.738,1,0.0424,0.0125,0.00148,0.137,0.665,105.905
0.599,0.931,7,-4.653,1,0.0735,0.0302,6.69e-05,0.392,0.536,140.123
0.395,0.777,5,-5.848,1,0.0334,0.097,5.52e-06,0.197,0.12,75.575
